壶***骨,2016-12-27 15:23:19,[升级版]男藏青,XXL,客服三天没人回复 截了图留证
香***0,2016-12-27 15:21:10,【尊享版】男深灰,XL,质量不好，都还没有穿，洗了一水衣服就破了，尺码也不准，偏小
l***2,2016-12-27 15:20:26,【超柔版】男咖啡,L,质量不错，很保暖。毛毛也挺舒服的，值得入手！
c***7,2016-12-27 15:20:00,【超柔版】男酒红,XXXL,还没穿呢 不过南极人品牌应该很不错的
李***韩,2016-12-27 15:19:12,【尊享版】男深灰,XL,好
时***5,2016-12-27 15:18:51,【超柔版】男浅灰,XXL,质量超好，很喜欢 也没有色差  总之太喜欢了
z***n,2016-12-27 15:18:25,【超柔版】男浅灰,XL,不错，准备在买套
p***2,2016-12-27 15:17:50,【尊享版】男藏青,XL,还不错，帮朋友一次性买了两套，摸着手感不错，这个价钱能买到这样的保暖衣可以了，总的来说还是给好评
常***强,2016-12-27 15:15:55,[升级版]男浅灰,XXL,可以
t***2,2016-12-27 15:15:39,【尊享版】男深灰,XXL,质量挺好的！
我***1,2016-12-27 15:15:38,【尊享版】男酒红,XXL,这个价位能买到这么好的保暖内衣，真是物超所值。
你***纸,2016-12-27 15:15:12,【尊享版】男浅灰,XXL,很好，很暖和，就是裤头有点紧了
t***3,2016-12-27 15:14:33,【尊享版】女黑色,XL,回粘毛
闵***3,2016-12-27 15:11:27,【超柔版】男深灰,XXL,很好
袁***1,2016-12-27 15:11:15,【超柔版】男咖啡,L,还没打开看呢
y***o,2016-12-27 15:08:35,[升级版]男藏青,XXL,帮外公买的，希望他会喜欢
余***9,2016-12-27 15:08:22,【尊享版】男藏青,XXL,买小了一点
安***博,2016-12-27 15:08:11,[升级版]男深灰,XXXL,买的有点小了，
蒋***弟,2016-12-27 15:07:45,【超柔版】男深灰,XXXXXL,OK
亲***轩,2016-12-27 15:06:44,[升级版]男藏青,L,买过4套了，穿了真的舒服，所以跟亲戚朋友都介绍买了！
5***n,2016-12-27 15:06:20,【尊享版】男深灰,L,穿了一个礼拜！裤子就漏了一个洞！而且评价不让上图！说该宝贝不让上传图片！！找个客服还的排队！！我就想知道这就是你们的售后吗！！薄就不说了！烦死了
你***炫,2016-12-27 15:06:15,【尊享版】女黑色,XXL,物流速度快物品满意下次还回来
肖***馨,2016-12-27 15:04:36,【超柔版】男墨绿,XXXL,很厚，老公喜欢
t***8,2016-12-27 15:04:27,【超柔版】男咖啡,XXL,不错
吴***嘉,2016-12-27 15:04:15,【超柔版】女黑色,XXXXL,第二次购买了
徐***豆,2016-12-27 15:01:30,【超柔版】男藏青,XL,质量很差
l***4,2016-12-27 15:00:46,【超柔版】男深灰,XXL,之前拍的小了。又拍了个。穿着很舒服。
明***乐,2016-12-27 14:59:50,【超柔版】女黑色,M,还不错，衣服保暖，价格优惠，这个冬天挺好的！大小合适！
明***乐,2016-12-27 14:59:50,【超柔版】男藏青,XXL,此用户没有填写评论!
h***y,2016-12-27 14:59:17,[升级版]男浅灰,XL,不错！
1***y,2016-12-27 14:56:57,[升级版]女魅力黑,XL,不错
1***y,2016-12-27 14:56:57,[升级版]男深灰,L,不错
芩***子,2016-12-27 14:56:53,【尊享版】男深灰,L,质量超不好，太差了，第一次买到这么差的东西，又掉色  又掉毛
一***1,2016-12-27 14:52:48,【尊享版】男深灰,XL,挺好的
转***梦,2016-12-27 14:52:41,【尊享版】男酒红,XXXL,很好，很舒服
s***1,2016-12-27 14:52:40,【超柔版】男深灰,XXXL,质量好，值得购买，挺好！
枫***2,2016-12-27 14:51:13,【超柔版】男酒红,XL,质量没得说，有需要还会光临！
甜***淘,2016-12-27 14:50:42,[升级版]男藏青,XL,衣服很好 刚拿到就穿上了 暖暖的
田***家,2016-12-27 14:49:46,[升级版]男藏青,XL,很薄，有点失望
t***5,2016-12-27 14:47:32,【尊享版】男浅灰,XXL,穿着很舒服，很喜欢。
石***根,2016-12-27 14:45:41,【尊享版】男浅灰,XL,衣服不错，穿起来很舒服，很保暖
s***1,2016-12-27 14:45:10,【超柔版】男深灰,XXXL,宝贝不错，穿上好暖和
贵***萍,2016-12-27 14:45:07,【超柔版】男浅灰,L,柔软细腻，保温性好，富有弹性
屈***3,2016-12-27 14:43:57,【超柔版】男藏青,XXL,宝贝已收到感觉还可以，就是物流慢了点。
l***7,2016-12-27 14:43:18,[升级版]男藏青,XXL,质量不错，手感也不错 ，就是稍微薄点，还比较划算
l***7,2016-12-27 14:43:18,[升级版]女紫罗兰,XXL,质量不错，手感也不错 ，就是稍微薄点，还比较划算
品***局,2016-12-27 14:43:09,【尊享版】女黑色,L,宝贝收到了，挺好。
品***局,2016-12-27 14:43:09,【尊享版】女紫色,L,宝贝收到了，挺好
c***5,2016-12-27 14:42:31,【超柔版】女黑色,XXXXL,厚度刚好，物流也很给力，点个赞
品***局,2016-12-27 14:42:17,【尊享版】男藏青,XL,宝贝收到了，挺好
c***5,2016-12-27 14:41:09,【超柔版】女黑色,XXL,不错，第二次购买了，就是我想要的这种
一***中,2016-12-27 14:39:10,【超柔版】男深灰,XXL,码数偏小太多了～～
t***6,2016-12-27 14:37:36,[升级版]男藏青,XXL,很好
白***4,2016-12-27 14:37:31,【尊享版】男深灰,L,太薄了，质量一般，还起球
白***4,2016-12-27 14:37:31,【尊享版】女紫色,M,太薄了，质量一般，还起球
x***0,2016-12-27 14:37:10,【尊享版】女黑色,L,一般般啦
w***6,2016-12-27 14:36:36,[升级版]男深灰,XXXXL,做工质量  非常不好   线头  拼接点崩线   然后快递  真的慢呀  真不行
n***静,2016-12-27 14:32:30,[升级版]男深灰,XXL,质量还行，就是价钱有点贵，只有衣服上衣有黄色的部位，裤子看着是薄的。
t***6,2016-12-27 14:29:43,[升级版]男浅灰,XL,满意
引***3,2016-12-27 14:24:50,【超柔版】男藏青,XL,比想象的薄～～希望暖和吧
小***6,2016-12-27 14:24:37,【尊享版】女红色,M,买给女朋友的，M码还稍稍大了一点点，其他的挺好的
买***名,2016-12-27 14:23:14,[升级版]男浅灰,XXXL,确实薄，真是秋衣加了绒
晨***漫,2016-12-27 14:23:05,[升级版]男浅灰,XXXXXL,容易坏不怎么样
晨***漫,2016-12-27 14:23:05,[升级版]男深灰,XXXXXL,容易坏不怎么样
a***1,2016-12-27 14:21:25,【尊享版】女红色,XXXL,存在严重的质量问题，一穿衣服就坏了个大口子，联系客服客服不给解决！服务态度差，严重差评！
1***y,2016-12-27 14:20:24,【超柔版】男深灰,XXL,宝贝很厚实，舒服，质量很好，值的购买。
小***u,2016-12-27 14:19:20,【超柔版】男藏青,L,买了第一件感觉很好，才买第二件的，挺好的
a***w,2016-12-27 14:17:46,【尊享版】女红色,L,感觉一般，给婆婆穿的
张***4,2016-12-27 14:16:16,【超柔版】男藏青,XXXXL,很好的衣服，准备再入手一套，绝对物超所值！
h***h,2016-12-27 14:13:30,【超柔版】男深灰,XXL,此用户没有填写评论!
天***气,2016-12-27 14:12:59,[升级版]男浅灰,XXXL,不错挺好的
t***8,2016-12-27 14:10:47,【超柔版】女紫色,XL,一般般，一点都不厚，质量也不好，差评
t***8,2016-12-27 14:10:47,【超柔版】女黑色,XL,本来想送家人的，唉，质量差的要死，算了就这样吧！
蜀***牛,2016-12-27 14:09:23,【尊享版】女黑色,L,棒!
蜀***牛,2016-12-27 14:09:23,【尊享版】男酒红,XXL,好
蜀***牛,2016-12-27 14:08:53,【尊享版】男藏青,XXL,很好!
蜀***牛,2016-12-27 14:08:53,【尊享版】女红色,L,不错!
w***4,2016-12-27 14:08:26,【超柔版】男深灰,XL,挺好的。
6***凤,2016-12-27 14:07:30,【超柔版】男藏青,XXL,衣服还不错，快递挺快的。
w***4,2016-12-27 14:07:21,【超柔版】女紫色,XXL,质量还是挺好的，穿起来很舒服啦！
我***龙,2016-12-27 14:06:52,【超柔版】女紫色,XXL,还可以
h***e,2016-12-27 14:06:32,【超柔版】男藏青,XXXL,入手的第二件，买完第一件一直等节日特价，结果等不急了&hellip;&hellip;质量真心好，很保暖&hellip;&hellip;
s***i,2016-12-27 14:05:14,【超柔版】男深灰,XL,尺码偏小
x***4,2016-12-27 14:04:26,【超柔版】男藏青,XL,东西可以，已经第二次购买，非常不错的店家，下次需要还来你家买
l***米,2016-12-27 14:02:12,【尊享版】男深灰,XL,买给老爸的，很好很暖和
t***1,2016-12-27 14:01:55,【超柔版】男深灰,XXXL,不错，挺好的
d***h,2016-12-27 14:01:19,【超柔版】男藏青,XXL,码数不准，质量还行
d***h,2016-12-27 14:01:19,【尊享版】男深灰,XXL,码数不准，质量还行
l***底,2016-12-27 14:00:53,【超柔版】女紫色,XL,比较柔软舒适
w***q,2016-12-27 14:00:04,【尊享版】男深灰,XXL,太薄了
艾***2,2016-12-27 13:57:36,[升级版]男深灰,XL,太差了，和第一次买的完全不一样，料子差死了，会起球，差距太大
漂***9,2016-12-27 13:57:04,【超柔版】男酒红,XL,一般般。
l***a,2016-12-27 13:56:51,【超柔版】男藏青,XXL,暖和，好评
新***2,2016-12-27 13:56:08,【超柔版】男浅灰,XXL,东西还不错，挺保暖的，希望能耐穿
新***2,2016-12-27 13:56:08,[升级版]男藏青,XXL,东西还不错，挺保暖的，希望能耐穿
h***j,2016-12-27 13:55:38,【超柔版】男藏青,XXL,我老公说衣服超暖超厚实。值得购买，棒棒哒
汪***e,2016-12-27 13:55:27,【超柔版】男藏青,XXL,宝贝收到了，立马就穿起来，很舒适，尺码也刚刚好，保暖又有型，居家旅行，寒冬必备，下次还会过来帮家人买几件的，好评！
t***5,2016-12-27 13:52:55,[升级版]男深灰,XL,价格便宜，给公公买的，老人穿还是可以的
柏***1,2016-12-27 13:52:37,[升级版]男深灰,XXL,卖家信誉很好，买了很多次了，特别实用，然后面料特别舒服，父母特别喜欢，保暖性好。
柏***1,2016-12-27 13:52:37,【超柔版】男藏青,XXXXL,卖家信誉很好，买了很多次了，特别实用，然后面料特别舒服，父母特别喜欢，保暖性好。
